_id,_cat_country,_city,_housemates,_housemates_emoji,pet,_pet,transportation,_transportation,_transportation_emoji,_favorite_food,_important,,_project_link,_drawing_room,_drawing_neighbourhood,_photo_window,_photo_breakfast,,Category,Emoji
0,mexico,Tuxtla Gutierrez,My mom,👩‍🦳,"Dog, white french poodle",dog,car,car,🚗,Poke bowls,"Being creative, Making a positive contribution to the world, My parents being proud of me",,https://drive.google.com/file/d/17mRgqU1aofNFuYrjFiYGE52J76G2xW2t/view,https://drive.google.com/uc?id=1I4JZzSErBOiIKGcIlnEsq01qbaTZiMXR,https://drive.google.com/uc?id=1ETMHnppGLvNDb6zxL1VGiJEHk2VIm99s,https://drive.google.com/file/d/1elpxKy7VnMy9f4B2aBL5uCa_7UHBo_Q8/view?usp=sharing,https://drive.google.com/file/d/1jhJ0Z1A73L6iByNSrtXGLlJScxTn_CxJ/view?usp=sharing,,car,🚗
1,sweden,Uppsala,partner and two kids (1.5 and 3.5 years),👨‍👩‍👧‍👦,,,cycling,bicycle,🚲,magluba,Making a positive contribution to the world,,https://docs.google.com/presentation/d/1BjAbc_vU5b6oB-ppfpuBHvRoV1dWVw555niQK1JFBDk/edit#slide=id.gd7f7966329_0_19,https://drive.google.com/uc?id=1j_8SqR7IlqTOGSc1cYafMsT7dpCl2VSx,,https://drive.google.com/file/d/1SrRbEUd9RJmyUCJ18cHfL1sVG2vl1sP2/view?usp=sharing,https://drive.google.com/file/d/1aFWO_wRbmiAFn3rv2nT9sfRQECqMt1WJ/view?usp=sharing,,bicycle,🚲
2,kenya,Nairobi,Alone,,Chihuahua,dog,public transport,public transport,🚎,Grilled meat and fillets,"Being creative, Helping other people, Making enough money to maintain myself and others, Making a positive contribution to the world, My parents being proud of me",,,,,,,,public transport,🚎
3,kenya,nairobi,parents and siblings,👨‍👩‍👦‍👦,dog,dog,public transport,public transport,🚎,chapati,Making a positive contribution to the world,,https://www.dropbox.com/scl/fi/6jhz15ixefdstjncxw693/Page-Documentation.paper?dl=0&rlkey=icxk0u4punoa960l3tyd2bufm,,,https://drive.google.com/file/d/1ENWLoT6dWXB-8ENyyxF_hcs_3g6F46pr/view?usp=sharing,https://drive.google.com/file/d/1kUlzlQCqqYoqHO6P7qjrn7XpGmoiBDpu/view?usp=sharing,,scooter,🛵
4,netherlands,Sint Pancras,My parents,💑,,,public transport,public transport,🚎,"I don't have a favourite food, I like everything in moderation","Being creative, Making a positive contribution to the world, My parents being proud of me",,,,,https://drive.google.com/file/d/1u7z8-xrBnlfugqhw0WA5-imN4wtrpgqv/view?usp=sharing,https://drive.google.com/file/d/12SLMOeoHIKlsUNVf2Q-aj7ZFR8Lf_u9P/view?usp=sharing,,walking,🚶🏽
5,kenya,Nairobi ,Parents,💑,Cat,cat,public transport,public transport,🚎,Rice and beans,"Being creative, Helping other people, Making enough money to maintain myself and others, Making a positive contribution to the world, My parents being proud of me",,,,,,,,motorcycle,🏍
6,netherlands,Amsterdam,2 Roommates,💃🏽🕺,,,public transport,public transport,🚎,Mexican,"Being creative, Helping other people, Making enough money to maintain myself and others",,,,,https://drive.google.com/file/d/1ExOeQF9rP-92Gilgii_tcWyWIXZcCYtu/view?usp=sharing,https://drive.google.com/file/d/1roO_pY_wExlB2Wc08EXk2xZItikcsw8T/view?usp=sharing,,all,🚗🚲🚎🛵🚶🏽🏍
7,netherlands,Amsterdam,Two other students,🧑🏼‍🎓🧑🏼‍🎓,,,Scooter,Scooter,🛵,Taco's,"Helping other people, Making a positive contribution to the world",,,,,https://drive.google.com/file/d/1UC4gHQGcelV9hWo4KAu2AK-lIA4amke4/view?usp=sharing,https://drive.google.com/file/d/10bLdRCeJaTC73NISDSar6m38Z6V1GTuL/view?usp=sharing,,,
8,netherlands,Amsterdam ,nobody ,,,,cycling,bicycle,🚲,linzen soep ,"Being creative, Helping other people, Making enough money to maintain myself and others",,,,,https://drive.google.com/file/d/1CdaXrp2c-FtEBQQSBHM-BAuB7vLAA7DP/view?usp=sharing,https://drive.google.com/file/d/1ser6e5q31uGbAM21mGoO0kDf0DukjvcS/view?usp=sharing,,,
9,austria,Thalheim bei Wels,girlfriend,💁‍♀️,,,car,car,🚗,Pizza,"Being creative, Helping other people, Making enough money to maintain myself and others, Making a positive contribution to the world, Getting wealthy",,https://www.notion.so/Project-Documentation-a78b21064161463c9535f9ff45dad3fd,,,https://drive.google.com/file/d/11JOPV28kr_s3UFjzdjVQGvd7ahiGi6WV/view?usp=sharing,https://drive.google.com/file/d/1av9AZuyF67khUNNa6uljnspyp61jFhJl/view?usp=sharing,,,
10,austria,Linz,My mum,👩‍🦳,,,car,car,🚗,meat,"Making enough money to maintain myself and others, Making a positive contribution to the world, Getting wealthy, My parents being proud of me",,https://drive.google.com/file/d/1eQsdCgssl7bHc6aLo4QaVzOZFIYPoNDT/view?usp=sharing,,,https://drive.google.com/file/d/1R9rfBKCbGJ6uIe3f0jh8YR26o2-4ItAQ/view?usp=sharing,,,,
11,austria,Linz,"Mum, Dad, little Sister, Grandma, Grandpa",👨‍👩‍👦‍👦,Cat,cat,car,car,🚗,Pizza,"Helping other people, Making enough money to maintain myself and others, Making a positive contribution to the world, Getting wealthy, My parents being proud of me",,,,,https://drive.google.com/file/d/19Mw11FrrcZQ0ZvzVfm3USDz2lBj-RzGf/view?usp=sharing,https://drive.google.com/file/d/1jwlWJ4_W0hsLP2mZ1fyGkuHB6XM4I69h/view?usp=sharing,,,
12,austria,Wels,Mum & Dad,👩‍❤️‍👨,,,car,car,🚗,Lasagne,"Being creative, Helping other people, Making enough money to maintain myself and others",,https://www.notion.so/Project-Documentation-a78b21064161463c9535f9ff45dad3fd,https://drive.google.com/uc?id=1lpQbabj-c_CnlXe2attnnqpJD-j2KNSo,,https://drive.google.com/file/d/1wMrc0qWSgZsEx-GC0ohWLfMvMJVXpPn2/view?usp=sharing,,,,
13,austria,Holzhausen,parents,💑,,,car,car,🚗,Pizza,"Being creative, Making enough money to maintain myself and others, Making a positive contribution to the world, Getting wealthy, My parents being proud of me",,https://drive.google.com/file/d/1eQsdCgssl7bHc6aLo4QaVzOZFIYPoNDT/view?usp=sharing,,,https://drive.google.com/file/d/1Bbpmomjx4PfRz3z8Q6Hh6wjQlW2LlQHl/view?usp=sharing,,,,
14,kenya,Kibera,Alone,,,,public transport,public transport,🚎,Chapati with Chicken,"Being creative, Helping other people, Making enough money to maintain myself and others, Making a positive contribution to the world",,,https://drive.google.com/uc?id=1Q0H7MZrJF9bJy4wrDW6RmCR3ciwlQyJm,https://drive.google.com/uc?id=13tGrkpLWEKK9_em3TFfHAM_8xBGmZWUM,https://drive.google.com/file/d/1Wic07keQ30Z54ExEZl5asEyzCU7CNvX2/view?usp=sharing,https://drive.google.com/file/d/1CzIGbQlqO-81rhJsTyRKw0qI8MiozJXl/view?usp=sharing,,,
15,mexico,Mexico state,With my parents and brothers,👨‍👩‍👦‍👦,,,walking,walking,🚶🏽,Pozole,"Being creative, Helping other people, Making enough money to maintain myself and others, Making a positive contribution to the world, Getting wealthy, My parents being proud of me",,https://drive.google.com/file/d/13CZGt9zGMTKFKLtHdjDOTv0LQcoVgEvd/view?usp=sharing,https://drive.google.com/uc?id=1nFdAT4dQ8Omj1USP8g80Qp9pJV-kj86I,https://drive.google.com/uc?id=1ahEbGzwhfiNEoxgNx-v9uddVZ0qi3S7H,https://drive.google.com/file/d/1_cJvsAvOPRbaQVuDNc7QYTBD8pyhLRg7/view?usp=sharing,https://drive.google.com/file/d/1pXWxStkTmKx19zmazqaOwu6nfQZfsf-3/view?usp=sharing,,,
16,austria,Steyr,i have my own appartment,,,,walking,walking,🚶🏽,chicken,"Making enough money to maintain myself and others, Getting wealthy, My parents being proud of me",,https://www.notion.so/Project-Documentation-Page-ad491f59559e4416b5353f44ec847956,https://drive.google.com/uc?id=1qtmJjnlJhHrvI0p9QL4myfhWCoL-O2SW,https://drive.google.com/uc?id=1tfX0NFiUqmvWWRvD0_iuecwEWeJlRN_a,https://drive.google.com/file/d/169SGSUTm2T4yv7L4P036tYM9DhJ9cdv8/view?usp=sharing,,,,
17,qatar,Doha,My Family,👨‍👩‍👦‍👦,,,car,car,🚗,I dont have one,"Being creative, Helping other people, My parents being proud of me",,https://www.canva.com/design/DAEfnYkv2ME/ReMsBm6tx--R2sw_GcQyRQ/view?utm_content=DAEfnYkv2ME&utm_campaign=designshare&utm_medium=link&utm_source=homepage_design_menu,https://drive.google.com/uc?id=1aIK9XKT5ogvwoPU_8YLCYVoYcPyKK7sS,https://drive.google.com/uc?id=1o94Sa5OyPxNkZRCPm2MLb6SxlfAtNZfH,,,,,
18,austria,Mauthausen,My parents,💑,,,"really different, i actually use all of them",all,🚗🚲🚎🛵🚶🏽🏍,"Italian (pasta, pizza, ...)",Making enough money to maintain myself and others,,,,,https://drive.google.com/file/d/1jlxR71EcMZ5u70ppu1Geot4FpUuyfjaO/view?usp=sharing,https://drive.google.com/file/d/1c2_s_VA1wo1LZZEsiyHqAWT8J2svwr16/view?usp=sharing,,,
